ano,id_regiao,sexo,raca_cor,populacao
2014,3,Mulheres,Parda,15694000
2015,3,Total,Total,85659000
2015,3,Total,Branca,45995000
2015,3,Total,Preta,7371000
2015,3,Total,Parda,31475000
2015,3,Homens,Total,41218000
2015,3,Homens,Branca,21645000
2015,3,Homens,Preta,3621000
2015,3,Homens,Parda,15541000
2015,3,Mulheres,Total,44441000
2015,3,Mulheres,Branca,24349000
2015,3,Mulheres,Preta,3750000
2015,3,Mulheres,Parda,15934000
2016,3,Total,Total,86347000
2016,3,Total,Branca,45084000
2016,3,Total,Preta,7795000
2016,3,Total,Parda,32472000
2016,3,Homens,Total,41596000
2016,3,Homens,Branca,21331000
2016,3,Homens,Preta,3786000
2016,3,Homens,Parda,16017000
2016,3,Mulheres,Total,44752000
2016,3,Mulheres,Branca,23753000
2016,3,Mulheres,Preta,4008000
2016,3,Mulheres,Parda,16454000
2017,3,Total,Total,87014000
2017,3,Total,Branca,44572000
2017,3,Total,Preta,8072000
2017,3,Total,Parda,33379000
2017,3,Homens,Total,41795000
2017,3,Homens,Branca,21062000
2017,3,Homens,Preta,3933000
2017,3,Homens,Parda,16356000
2017,3,Mulheres,Total,45219000
2017,3,Mulheres,Branca,23509000
2017,3,Mulheres,Preta,4139000
2017,3,Mulheres,Parda,17023000
2018,3,Total,Total,87691000
2018,3,Total,Branca,44474000
2018,3,Total,Preta,8664000
2018,3,Total,Parda,33562000
2018,3,Homens,Total,41884000
2018,3,Homens,Branca,20895000
2018,3,Homens,Preta,4220000
2018,3,Homens,Parda,16283000
2018,3,Mulheres,Total,45807000
2018,3,Mulheres,Branca,23579000
2018,3,Mulheres,Preta,4445000
2018,3,Mulheres,Parda,17279000
2019,3,Total,Total,88350000
2019,3,Total,Branca,44132000
2019,3,Total,Preta,8789000
2019,3,Total,Parda,34449000
2019,3,Homens,Total,42280000
2019,3,Homens,Branca,20690000
2019,3,Homens,Preta,4297000
2019,3,Homens,Parda,16815000
2019,3,Mulheres,Total,46070000
2019,3,Mulheres,Branca,23441000
2019,3,Mulheres,Preta,4492000
2019,3,Mulheres,Parda,17633000
2012,4,Total,Total,28324000
2012,4,Total,Branca,22377000
2012,4,Total,Preta,1079000
2012,4,Total,Parda,4678000
2012,4,Homens,Total,13739000
2012,4,Homens,Branca,10708000
2012,4,Homens,Preta,567000
2012,4,Homens,Parda,2378000
2012,4,Mulheres,Total,14585000
2012,4,Mulheres,Branca,11670000
2012,4,Mulheres,Preta,512000
2012,4,Mulheres,Parda,2300000
2013,4,Total,Total,28551000
2013,4,Total,Branca,22458000
2013,4,Total,Preta,965000
2013,4,Total,Parda,4967000
2013,4,Homens,Total,13898000
2013,4,Homens,Branca,10806000
2013,4,Homens,Preta,480000
2013,4,Homens,Parda,2532000
2013,4,Mulheres,Total,14653000
2013,4,Mulheres,Branca,11652000
2013,4,Mulheres,Preta,485000
2013,4,Mulheres,Parda,2435000
2014,4,Total,Total,28784000
2014,4,Total,Branca,22702000
2014,4,Total,Preta,1135000
2014,4,Total,Parda,4778000
2014,4,Homens,Total,14014000
2014,4,Homens,Branca,10945000
2014,4,Homens,Preta,558000
2014,4,Homens,Parda,2430000
2014,4,Mulheres,Total,14770000
2014,4,Mulheres,Branca,11757000
2014,4,Mulheres,Preta,577000
2014,4,Mulheres,Parda,2347000
2015,4,Total,Total,29024000
2015,4,Total,Branca,22862000
2015,4,Total,Preta,1047000
2015,4,Total,Parda,4971000
2015,4,Homens,Total,14094000
2015,4,Homens,Branca,10961000
2015,4,Homens,Preta,520000
2015,4,Homens,Parda,2544000
2015,4,Mulheres,Total,14930000
2015,4,Mulheres,Branca,11901000
2015,4,Mulheres,Preta,527000
2015,4,Mulheres,Parda,2427000
2016,4,Total,Total,29257000
2016,4,Total,Branca,22476000
2016,4,Total,Preta,1125000
2016,4,Total,Parda,5461000
2016,4,Homens,Total,14227000
2016,4,Homens,Branca,10873000
2016,4,Homens,Preta,557000
2016,4,Homens,Parda,2706000
2016,4,Mulheres,Total,15029000
2016,4,Mulheres,Branca,11603000
2016,4,Mulheres,Preta,568000
2016,4,Mulheres,Parda,2755000
2017,4,Total,Total,29483000
2017,4,Total,Branca,22306000
2017,4,Total,Preta,1230000
2017,4,Total,Parda,5764000
2017,4,Homens,Total,14344000
2017,4,Homens,Branca,10738000
2017,4,Homens,Preta,616000
2017,4,Homens,Parda,2897000
2017,4,Mulheres,Total,15139000
2017,4,Mulheres,Branca,11567000
2017,4,Mulheres,Preta,614000
2017,4,Mulheres,Parda,2866000
2018,4,Total,Total,29710000
2018,4,Total,Branca,21957000
2018,4,Total,Preta,1411000
2018,4,Total,Parda,6122000
2018,4,Homens,Total,14463000
2018,4,Homens,Branca,10563000
2018,4,Homens,Preta,710000
2018,4,Homens,Parda,3079000
2018,4,Mulheres,Total,15247000
2018,4,Mulheres,Branca,11393000
2018,4,Mulheres,Preta,702000
2018,4,Mulheres,Parda,3043000
2019,4,Total,Total,29932000
2019,4,Total,Branca,21911000
2019,4,Total,Preta,1392000
2019,4,Total,Parda,6379000
2019,4,Homens,Total,14599000
2019,4,Homens,Branca,10553000
2019,4,Homens,Preta,704000
2019,4,Homens,Parda,3226000
2019,4,Mulheres,Total,15334000
2019,4,Mulheres,Branca,11359000
2019,4,Mulheres,Preta,688000
2019,4,Mulheres,Parda,3153000
2012,5,Total,Total,14667000
2012,5,Total,Branca,5837000
2012,5,Total,Preta,938000
2012,5,Total,Parda,7780000
2012,5,Homens,Total,7169000
2012,5,Homens,Branca,2729000
2012,5,Homens,Preta,487000
2012,5,Homens,Parda,3899000
2012,5,Mulheres,Total,7499000
2012,5,Mulheres,Branca,3108000
2012,5,Mulheres,Preta,451000
2012,5,Mulheres,Parda,3882000
2013,5,Total,Total,14881000
2013,5,Total,Branca,5846000
2013,5,Total,Preta,1017000
2013,5,Total,Parda,7902000
2013,5,Homens,Total,7290000
2013,5,Homens,Branca,2776000
2013,5,Homens,Preta,526000
2013,5,Homens,Parda,3935000
2013,5,Mulheres,Total,7591000
2013,5,Mulheres,Branca,3070000
2013,5,Mulheres,Preta,490000
2013,5,Mulheres,Parda,3967000
2014,5,Total,Total,15101000
2014,5,Total,Branca,5931000
2014,5,Total,Preta,1012000
2014,5,Total,Parda,8062000
2014,5,Homens,Total,7370000
2014,5,Homens,Branca,2820000
2014,5,Homens,Preta,538000
2014,5,Homens,Parda,3966000
2014,5,Mulheres,Total,7731000
2014,5,Mulheres,Branca,3111000
2014,5,Mulheres,Preta,474000
2014,5,Mulheres,Parda,4096000
2015,5,Total,Total,15325000
2015,5,Total,Branca,5911000
2015,5,Total,Preta,984000
2015,5,Total,Parda,8325000
2015,5,Homens,Total,7529000
2015,5,Homens,Branca,2849000
2015,5,Homens,Preta,523000
2015,5,Homens,Parda,4103000
2015,5,Mulheres,Total,7795000
2015,5,Mulheres,Branca,3062000
2015,5,Mulheres,Preta,461000
2015,5,Mulheres,Parda,4222000
2016,5,Total,Total,15539000
2016,5,Total,Branca,5746000
2016,5,Total,Preta,1074000
2016,5,Total,Parda,8597000
2016,5,Homens,Total,7587000
2016,5,Homens,Branca,2736000
2016,5,Homens,Preta,564000
2016,5,Homens,Parda,4234000
2016,5,Mulheres,Total,7952000
2016,5,Mulheres,Branca,3010000
2016,5,Mulheres,Preta,510000
2016,5,Mulheres,Parda,4363000
2017,5,Total,Total,15750000
2017,5,Total,Branca,5718000
2017,5,Total,Preta,1287000
2017,5,Total,Parda,8575000
2017,5,Homens,Total,7646000
2017,5,Homens,Branca,2698000
2017,5,Homens,Preta,659000
2017,5,Homens,Parda,4209000
2017,5,Mulheres,Total,8104000
2017,5,Mulheres,Branca,3021000
2017,5,Mulheres,Preta,628000
2017,5,Mulheres,Parda,4366000
2018,5,Total,Total,15964000
2018,5,Total,Branca,5828000
2018,5,Total,Preta,1468000
2018,5,Total,Parda,8455000
2018,5,Homens,Total,7831000
2018,5,Homens,Branca,2794000
2018,5,Homens,Preta,770000
2018,5,Homens,Parda,4172000
2018,5,Mulheres,Total,8132000
2018,5,Mulheres,Branca,3034000
2018,5,Mulheres,Preta,698000
2018,5,Mulheres,Parda,4283000
2019,5,Total,Total,16173000
2019,5,Total,Branca,5854000
2019,5,Total,Preta,1495000
2019,5,Total,Parda,8642000
2019,5,Homens,Total,7877000
2019,5,Homens,Branca,2796000
2019,5,Homens,Preta,745000
2019,5,Homens,Parda,4246000
2019,5,Mulheres,Total,8296000
2019,5,Mulheres,Branca,3058000
2019,5,Mulheres,Preta,750000
2019,5,Mulheres,Parda,4396000
